Step	Loss	Loss per Cell	 Change 
174	12041518080.0	1582120.362633031	18166.27933254512
175	11905966080.0	1564310.350808041	17810.011824990157
176	11771283456.0	1546614.565234529	17695.78557351185
177	11638337536.0	1529146.963079753	17467.60215477599
178	11508253696.0	1512055.406122717	17091.556957036024
179	11379729408.0	1495168.7567993694	16886.649323347723
180	11252250624.0	1478419.4749704376	16749.281828931766
181	11126192128.0	1461856.8030482198	16562.67192221782
182	11002018816.0	1445541.823150703	16314.97989751678
183	10879974400.0	1429506.556300092	16035.266850610962
184	10760873984.0	1413858.0980160295	15648.458284062566
185	10641022976.0	1398111.0203652608	15747.077650768682
186	10523464704.0	1382665.1824990145	15445.837866246235
187	10406231040.0	1367261.9944816714	15403.188017343171
188	10291343360.0	1352167.0424385758	15094.952043095604
189	10175390720.0	1336932.1666009722	15234.875837603584
190	10061602816.0	1321981.7127841283	14950.453816843918
191	9949555712.0	1307259.9805544605	14721.732229667716
192	9838331904.0	1292646.4201813166	14613.560373143991
193	9729422336.0	1278336.9249770069	14309.4952043097
194	9620812800.0	1264066.8506109577	14270.074366049143
195	9515458560.0	1250224.4856129286	13842.36499802908
196	9410096128.0	1236381.0442780186	13843.441334909992
197	9306261504.0	1222738.3397713834	13642.7045066352
198	9204687872.0	1209392.7042438576	13345.635527525796
199	9104889856.0	1196280.3647352515	13112.339508606121
200	9008433152.0	1183607.0361319142	12673.328603337286
201	8912197632.0	1170962.7686243595	12644.26750755473
202	8817484800.0	1158518.565234529	12444.203389830422
203	8722867200.0	1146086.874260938	12431.69097359106
204	8630102016.0	1133898.569964525	12188.30429641297
205	8539408896.0	1121982.511627907	11916.058336618124
206	8450896384.0	1110352.9607147549	11629.550913152052
207	8362573824.0	1098748.3673630273	11604.593351727584
208	8275136000.0	1087260.018394429	11488.348968598293
209	8190315008.0	1076115.4917882013	11144.526606227737
210	8105690624.0	1064996.7972671133	11118.69452108792
211	8022379008.0	1054050.5857311785	10946.211535934824
212	7940001792.0	1043227.1438707134	10823.4418604651
213	7858245120.0	1032485.2345289713	10741.909341742168
214	7777718784.0	1021904.9775325187	10580.256996452576
215	7699664896.0	1011649.5724609118	10255.40507160686
216	7621749760.0	1001412.397845224	10237.174615687807
217	7544156160.0	991217.4694521088	10194.928393115173
218	7468092416.0	981223.5469714886	9993.922480620211
219	7393425408.0	971413.1399290501	9810.407042438514
220	7318484480.0	961566.7428721588	9846.39705689135
221	7245238784.0	951943.0802785442	9623.662593614543
222	7172589056.0	942397.7211930101	9545.359085534117
223	7101434368.0	933048.7935882276	9348.927604782511
224	7030238208.0	923694.4170279858	9354.376560241799
225	6960353792.0	914512.3889107871	9182.02811719873
226	6892518912.0	905599.646826961	8912.742083826102
227	6824777216.0	896699.1480751544	8900.49875180656
228	6758657536.0	888011.7640257522	8687.3840494022
229	6693039616.0	879390.3056103009	8621.458415451343
230	6628226560.0	870874.5972933911	8515.708316909731
231	6564808704.0	862542.2026014979	8332.394691893249
232	6502287872.0	854327.6667980554	8214.535803442472
233	6440701952.0	846235.9679411378	8091.698856917559
234	6379835904.0	838238.8521876232	7997.115753514692
