Step	Loss	Loss per Cell	 Change 
97	1577063168.0	208000.94539699287	1370.3022949089936
82	1742784896.0	228771.97374639014	1509.3179312155407
98	1566754560.0	206641.32946452123	1359.6159324716427
89	1519432192.0	207799.80743982494	1281.5229759299837
83	1731384576.0	227275.47597794698	1496.4977684431651
99	1556524672.0	205292.09601688207	1349.2334476391552
90	1510136576.0	206528.5251641138	1271.2822757111571
33	2685181952.0	143370.2788189439	1007.1465641518589
84	1720089472.0	225792.78970858493	1482.6862693620496
100	1546367744.0	203952.48536006332	1339.6106568187533
91	1500916224.0	205267.53610503284	1260.9890590809518
85	1708903296.0	224324.40220530322	1468.3875032817014
101	1536282368.0	202622.31179108415	1330.1735689791676
92	1491766272.0	204016.1750547046	1251.3610503282398
34	2666496256.0	142372.59095520317	997.6878637407208
86	1697822720.0	222869.8766080336	1454.5255972696177
102	1526268928.0	201301.62595621208	1320.6858348720707
93	1482691328.0	202775.07221006564	1241.1028446389537
87	1686846976.0	221429.11210291417	1440.7645051194413
103	1516330240.0	199990.7992614086	1310.826694803487
94	1473690752.0	201544.14004376368	1230.9321663019655
88	1675971968.0	220001.5710160147	1427.5410868994659
104	1506470528.0	198690.38881561594	1300.4104457926587
95	1464765696.0	200323.53610503284	1220.603938730841
35	2647985152.0	141384.22510545145	988.3658497517172
105	1496691584.0	197400.6309680823	1289.7578475336486
89	1665198464.0	218587.35416119717	1414.216854817525
96	1455914624.0	199113.05032822757	1210.4857768052607
106	1486991744.0	196121.30625164864	1279.3247164336499
90	1654524544.0	217186.20950380678	1401.1446573903959
97	1447138176.0	197912.77024070022	1200.2800875273533
36	2629640704.0	140404.75754178013	979.4675636713218
107	1477371392.0	194852.46531258244	1268.8409390661982
91	1643946752.0	215797.68338146494	1388.5261223418347
98	1438440192.0	196723.22100656456	1189.5492341356585
108	1467835136.0	193594.7159060934	1257.7494064890489
99	1429816192.0	195543.78993435449	1179.4310722100781
92	1633461248.0	214421.27172486216	1376.4116566027806
109	1458379136.0	192347.55156950673	1247.164336586662
37	2611458048.0	139433.9285599872	970.8289817929326
100	1421265280.0	194374.3544857768	1169.4354485776857
93	1623060608.0	213056.0	1365.271724862163
110	1449002496.0	191110.85412819838	1236.6974413083517
101	1412786688.0	193214.80962800875	1159.5448577680509
94	1612740224.0	211701.263323707	1354.7366762929887
111	1439701504.0	189884.1340015827	1226.7201266156917
102	1404378240.0	192064.85776805252	1149.9518599562289
38	2593428480.0	138471.2734262374	962.6551337497949
95	1602498176.0	210356.80966132844	1344.453662378568
112	1430472960.0	188666.96913743074	1217.1648641519423
103	1396043392.0	190924.9715536105	1139.8862144420273
96	1592333568.0	209022.52139669206	1334.2882646363869
113	1421317632.0	187459.4608282775	1207.5083091532579
104	1387782272.0	189795.16849015318	1129.8030634573079
97	1582247296.0	207698.51614597006	1324.0052507219953
39	2575546624.0	137516.50509904427	954.768327193131
114	1412238848.0	186262.04800844105	1197.4128198364342
105	1379596672.0	188675.69365426697	1119.4748358862125
98	1572243968.0	206385.39879233396	1313.117353636102
115	1403239040.0	185075.05143761542	1186.996570825635
106	1371484160.0	187566.21444201312	1109.4792122538493
116	1394320768.0	183898.80875758376	1176.2426800316607
99	1562326016.0	205083.48857967972	1301.910212654242
40	2557808384.0	136569.4048801324	947.100218911859
107	1363442688.0	186466.45076586434	1099.763676148781
100	1552494464.0	203792.91992648988	1290.568653189839
117	1385480832.0	182732.89791611713	1165.9108414666262
108	1355469056.0	185375.96498905908	1090.4857768052607
118	1376717824.0	181577.13321023478	1155.7647058823495
101	1542749952.0	202513.7768443161	1279.143082173774
41	2540202240.0	135629.35768060226	940.0471995301486
109	1347558144.0	184294.056892779	1081.9080962800945
119	1368028672.0	180431.10946979688	1146.0237404379004
102	1533088384.0	201245.52165922814	1268.2551850879681
110	1339707008.0	183220.3238512035	1073.7330415754986
120	1359416192.0	179295.19810076497	1135.9113690319064
103	1523506176.0	199987.68390653716	1257.8377526909753
111	1331916160.0	182154.83588621445	1065.4879649890354
121	1350876928.0	178168.94328673172	1126.254814033251
42	2522727936.0	134696.34983181162	933.007848790643
104	1514001792.0	198740.0619585193	1247.6219480178552
112	1324187520.0	181097.85557986872	1056.9803063457366
122	1342412032.0	177052.4969664996	1116.4463202321203
105	1504575872.0	197502.73982672617	1237.3221317931311
113	1316522112.0	180049.52297592998	1048.332603938732
123	1334018304.0	175945.43708783961	1107.0598786599876
106	1495228416.0	196275.7175111578	1227.022315568378
43	2505382144.0	133770.2036414117	926.1461903999152
114	1308920832.0	179009.96061269147	1039.5623632385104
124	1325698688.0	174848.15193880242	1097.2851490371977
107	1485965184.0	195059.75111577843	1215.9663953793643
115	1301383936.0	177979.2035010941	1030.7571115973697
125	1317451520.0	173760.42205222897	1087.7298865734483
116	1293908864.0	176956.90153172865	1022.3019693654496
108	1476787456.0	193855.00866369126	1204.7424520871718
44	2488159488.0	132850.63206791607	919.571573495632
126	1309277056.0	172682.28119229755	1078.1408599314163
117	1286497152.0	175943.2647702407	1013.6367614879564
109	1467699840.0	192662.09503806772	1192.913625623536
127	1301177600.0	171614.03323661303	1068.247955684521
118	1279150080.0	174938.4682713348	1004.7964989058964
110	1458698112.0	191480.45576266738	1181.6392754003464
128	1293153920.0	170555.77947771037	1058.2537589026615
45	2471053312.0	131937.27972662717	913.3523412889044
119	1271863808.0	173941.98687089715	996.4814004376531
111	1449781504.0	190309.99002362826	1170.4657390391221
129	1285203712.0	169507.2160379847	1048.5634397256654
120	1264636416.0	172953.5579868709	988.4288840262452
130	1277323008.0	168467.81957267213	1039.3964653125731
112	1440944640.0	189149.99212391704	1159.9978997112194
121	1257466752.0	171973.02407002187	980.5339168490318
46	2454054144.0	131029.64087778312	907.6388488440425
131	1269512192.0	167437.6407280401	1030.178844632028
113	1432187520.0	188000.46206353375	1149.5300603832875
122	1250355840.0	171000.5251641138	972.4989059080835
114	1423506560.0	186860.92937778943	1139.5326857443142
132	1261768960.0	166416.3756264838	1021.265101556317
123	1243302272.0	170035.86870897157	964.6564551422198
133	1254095232.0	165404.27749934053	1012.0981271432538
115	1414900864.0	185731.27645051194	1129.6529272774933
47	2437157376.0	130127.46948582413	902.1713919589965
124	1236311552.0	169079.80743982494	956.0612691466231
134	1246487424.0	164400.87364811395	1003.4038512265834
